number,value,datetime_start,datetime_complete,duration,params_bidirectional,params_decision_threshold,params_dense_neurons,params_dropout,params_filter_size,params_first_dense_size,params_hidden_size,params_kernel_size,params_learning_rate,params_lr,params_model_type,params_num_dense_layers,params_num_layers,params_num_lstm_layers,state
0,0.9390018484288355,2025-07-05 19:03:25.680857,2025-07-05 19:05:23.610382,0 days 00:01:57.929525,,0.8,23.0,0.1,,,,,0.003,0.0008105772961259034,MLP,,3.0,,COMPLETE
1,0.9018601667735728,2025-07-05 19:05:23.629269,2025-07-05 19:07:52.829246,0 days 00:02:29.199977,,0.8,184.0,0.30000000000000004,31.0,,,3.0,0.0006,0.00027809524967890316,CNN1D,2.0,2.0,,COMPLETE
2,0.9008317338451696,2025-07-05 19:07:52.846169,2025-07-05 19:09:06.000600,0 days 00:01:13.154431,,0.8,84.0,0.1,15.0,,,4.0,0.01,0.007904056594980476,CNN1D,3.0,4.0,,COMPLETE
3,0.0,2025-07-05 19:09:06.018576,2025-07-05 19:10:20.926610,0 days 00:01:14.908034,False,0.9,,0.5,,318.0,187.0,,0.006,0.00394397587405243,LSTM,2.0,,1.0,COMPLETE
4,0.9256714553404123,2025-07-05 19:10:20.944644,2025-07-05 19:12:27.176108,0 days 00:02:06.231464,,0.9,155.0,0.4,118.0,,,5.0,0.0001,0.0003825270677539178,CNN1D,1.0,2.0,,COMPLETE
5,0.0,2025-07-05 19:12:27.192074,2025-07-05 19:14:27.146251,0 days 00:01:59.954177,False,0.9,,0.2,,414.0,142.0,,0.01,0.006061859912386315,LSTM,3.0,,2.0,COMPLETE
6,0.07330458308570087,2025-07-05 19:14:27.163011,2025-07-05 19:14:45.167544,0 days 00:00:18.004533,,0.9,210.0,0.30000000000000004,323.0,,,5.0,0.001,0.0009530057338177475,CNN1D,1.0,3.0,,PRUNED
7,0.0,2025-07-05 19:14:45.182505,2025-07-05 19:19:31.645636,0 days 00:04:46.463131,True,0.9,,0.1,,250.0,244.0,,0.0006,0.0012011462396636617,LSTM,3.0,,3.0,COMPLETE
8,0.750728862973761,2025-07-05 19:19:31.661821,2025-07-05 19:20:34.967129,0 days 00:01:03.305308,,0.5,3577.0,0.4,,,,,0.01,0.002314535724154229,MLP,,5.0,,COMPLETE
9,0.06741520040668547,2025-07-05 19:20:34.983578,2025-07-05 19:20:44.897475,0 days 00:00:09.913897,,0.8,265.0,0.30000000000000004,51.0,,,2.0,0.006,0.004244854245185179,CNN1D,1.0,3.0,,PRUNED
10,0.87890625,2025-07-05 19:20:44.908342,2025-07-05 19:22:36.938600,0 days 00:01:52.030258,,0.6,20.0,0.2,,,,,0.003,0.00010060368017846841,MLP,,1.0,,COMPLETE
11,0.08968971110880375,2025-07-05 19:22:36.958473,2025-07-05 19:22:46.052152,0 days 00:00:09.093679,,0.7,23.0,0.5,,,,,0.0001,0.0004790030843483792,MLP,,2.0,,PRUNED
12,0.07102077873423696,2025-07-05 19:22:46.065119,2025-07-05 19:22:55.378168,0 days 00:00:09.313049,,0.7,986.0,0.4,,,,,0.0003,0.0002997075296666985,MLP,,2.0,,PRUNED
13,0.08284805243602023,2025-07-05 19:22:55.390106,2025-07-05 19:23:10.265466,0 days 00:00:14.875360,,0.8,104.0,0.4,254.0,,,6.0,0.003,0.0006442013909463757,CNN1D,1.0,3.0,,PRUNED
14,0.0861915573477745,2025-07-05 19:23:10.276437,2025-07-05 19:23:19.309810,0 days 00:00:09.033373,,0.8,54.0,0.2,,,,,0.0001,0.00017708155087853885,MLP,,1.0,,PRUNED
15,0.08093372115399688,2025-07-05 19:23:19.323775,2025-07-05 19:23:33.334355,0 days 00:00:14.010580,,0.6,137.0,0.1,138.0,,,6.0,0.0001,0.0014807570411354983,CNN1D,1.0,4.0,,PRUNED
16,0.07615542749408633,2025-07-05 19:23:33.345357,2025-07-05 19:23:42.649296,0 days 00:00:09.303939,,0.9,597.0,0.4,,,,,0.003,0.0005027577411885344,MLP,,4.0,,PRUNED
17,0.08172475988976657,2025-07-05 19:23:42.662960,2025-07-05 19:23:51.674220,0 days 00:00:09.011260,,0.7,40.0,0.2,,,,,0.001,0.00028937231398941783,MLP,,2.0,,PRUNED
18,0.08265146403573453,2025-07-05 19:23:51.685222,2025-07-05 19:24:02.395776,0 days 00:00:10.710554,,0.8,141.0,0.5,93.0,,,4.0,0.0003,0.0018150944543430612,CNN1D,2.0,3.0,,PRUNED
19,0.8984962406015038,2025-07-05 19:24:02.406746,2025-07-05 19:29:05.058745,0 days 00:05:02.651999,True,0.6,,0.4,,506.0,103.0,,0.003,0.000666208051176638,LSTM,2.0,,3.0,COMPLETE
