number,value,datetime_start,datetime_complete,duration,params_bidirectional,params_decision_threshold,params_dense_neurons,params_dropout,params_filter_size,params_first_dense_size,params_hidden_size,params_kernel_size,params_learning_rate,params_lr,params_model_type,params_num_dense_layers,params_num_layers,params_num_lstm_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.9808383233532935,2025-07-04 19:11:14.638834,2025-07-04 19:13:54.153709,0 days 00:02:39.514875,,0.7,223.0,0.30000000000000004,37.0,,,5.0,0.01,0.00019012319646913398,CNN1D,1.0,4.0,,0.03258024138631299,,COMPLETE
1,0.9647201946472019,2025-07-04 19:13:54.185803,2025-07-04 19:16:09.458036,0 days 00:02:15.272233,,0.9,853.0,0.1,,,,,0.001,0.0004347638342652047,MLP,,4.0,,0.0643901728374372,,COMPLETE
2,0.045852523209759966,2025-07-04 19:16:09.474063,2025-07-04 19:19:24.859783,0 days 00:03:15.385720,,0.6,156.0,0.5,249.0,,,4.0,0.0003,0.005604866660570742,CNN1D,1.0,4.0,,0.045852523209759966,,PRUNED
3,0.02856597799109295,2025-07-04 19:19:24.877341,2025-07-04 19:21:41.455510,0 days 00:02:16.578169,True,0.5,,0.2,,155.0,119.0,,0.0006,0.000586925186053846,LSTM,3.0,,3.0,0.02856597799109295,,PRUNED
4,0.036971601846744306,2025-07-04 19:21:41.555792,2025-07-04 19:41:48.790001,0 days 00:20:07.234209,True,0.5,,0.5,,388.0,240.0,,0.0001,0.00046970860688073566,LSTM,3.0,,3.0,0.036971601846744306,,PRUNED
5,0.022743684850865975,2025-07-04 19:41:48.884969,2025-07-04 21:24:25.624335,0 days 01:42:36.739366,True,0.6,,0.30000000000000004,,495.0,183.0,,0.0001,0.0003405609169769005,LSTM,2.0,,3.0,0.022743684850865975,,PRUNED
6,0.033212009933777153,2025-07-04 21:24:25.646045,2025-07-04 21:27:41.742891,0 days 00:03:16.096846,False,0.5,,0.30000000000000004,,323.0,128.0,,0.01,0.0010521435678892926,LSTM,1.0,,1.0,0.033212009933777153,,PRUNED
7,0.04485398513497785,2025-07-04 21:27:41.756420,2025-07-04 21:45:00.224584,0 days 00:17:18.468164,True,0.5,,0.2,,160.0,135.0,,0.0001,0.00019782622099503462,LSTM,3.0,,1.0,0.04485398513497785,,PRUNED
8,0.8122819260293092,2025-07-04 21:45:00.320992,2025-07-04 21:50:11.297370,0 days 00:05:10.976378,,0.8,115.0,0.30000000000000004,63.0,,,2.0,0.0003,0.004257515269554221,CNN1D,3.0,4.0,,0.12020635098633647,0.14692603575531393,COMPLETE
9,0.012243478626260185,2025-07-04 21:50:11.330681,2025-07-04 21:51:12.236949,0 days 00:01:00.906268,,0.7,33.0,0.1,,,,,0.006,0.0007848120918167676,MLP,,4.0,,0.012243478626260185,,PRUNED
10,0.025490035564871505,2025-07-04 21:51:12.263317,2025-07-04 21:52:13.236046,0 days 00:01:00.972729,,0.8,231.0,0.4,8.0,,,6.0,0.01,0.00010179635187664998,CNN1D,1.0,2.0,,0.025490035564871505,,PRUNED
11,0.9976470588235294,2025-07-04 21:52:13.331226,2025-07-04 21:54:54.869675,0 days 00:02:41.538449,,0.9,2397.0,0.1,,,,,0.001,0.0017460998023711826,MLP,,5.0,,0.09945107205203385,,COMPLETE
12,0.9838613269575612,2025-07-04 21:54:54.916537,2025-07-04 21:58:09.514316,0 days 00:03:14.597779,,0.9,3971.0,0.2,,,,,0.003,0.0020053103063002987,MLP,,5.0,,0.049106258288475146,0.1661197096119441,COMPLETE
13,0.9820574162679426,2025-07-04 21:58:09.529947,2025-07-04 22:00:48.728035,0 days 00:02:39.198088,,0.9,3958.0,0.2,,,,,0.003,0.0021525682611438736,MLP,,5.0,,0.28442043391667404,,COMPLETE
14,0.07616368634665784,2025-07-04 22:00:48.761557,2025-07-04 22:03:11.106614,0 days 00:02:22.345057,,0.9,3855.0,0.1,,,,,0.003,0.0018840675794558068,MLP,,5.0,,0.06382782408036292,0.07616368634665784,PRUNED
15,0.9958799293702177,2025-07-04 22:03:11.233762,2025-07-04 22:05:28.423056,0 days 00:02:17.189294,,0.8,1271.0,0.2,,,,,0.001,0.009190637276126309,MLP,,1.0,,3.830333836376667,,COMPLETE
16,0.9952774498229043,2025-07-04 22:05:28.459211,2025-07-04 22:07:43.523734,0 days 00:02:15.064523,,0.8,1077.0,0.1,,,,,0.001,0.0077601731224506525,MLP,,1.0,,4.558133189799264,,COMPLETE
17,0.9850924269528921,2025-07-04 22:07:43.554982,2025-07-04 22:10:28.302911,0 days 00:02:44.747929,,0.8,1093.0,0.2,,,,,0.001,0.009622668499506978,MLP,,1.0,,2.0993043400812894,2.231609767475427,COMPLETE
18,,2025-07-04 22:10:28.334161,,,,0.8,668.0,0.4,,,,,0.001,0.003777784999940238,MLP,,2.0,,0.14294032192310624,,RUNNING
19,0.11137228219627585,2025-07-05 10:23:35.731680,2025-07-05 10:24:37.778926,0 days 00:01:02.047246,,0.8,550.0,0.4,,,,,0.001,0.0038714624863235804,MLP,,2.0,,0.11137228219627585,,PRUNED
20,0.05636947399500514,2025-07-05 10:24:37.801657,2025-07-05 10:25:39.045894,0 days 00:01:01.244237,,0.7,1807.0,0.1,,,,,0.001,0.001229773038703068,MLP,,2.0,,0.05636947399500514,,PRUNED
21,0.026158133111493953,2025-07-05 10:25:39.145685,2025-07-05 10:26:38.928640,0 days 00:00:59.782955,,0.9,507.0,0.2,,,,,0.006,0.003176409063924254,MLP,,3.0,,0.026158133111493953,,PRUNED
22,0.998234255444379,2025-07-05 10:26:39.051316,2025-07-05 10:30:10.618954,0 days 00:03:31.567638,,0.8,1648.0,0.1,,,,,0.001,0.008904637230633184,MLP,,1.0,,3.9716717098537675,24.451077461242676,COMPLETE
23,1.707236117683351,2025-07-05 10:30:10.653104,2025-07-05 10:32:11.004800,0 days 00:02:00.351696,,0.8,1948.0,0.1,,,,,0.001,0.0060909476210615765,MLP,,1.0,,1.4728688355535269,1.707236117683351,PRUNED
24,0.9911190053285968,2025-07-05 10:32:11.105894,2025-07-05 10:36:34.771848,0 days 00:04:23.665954,,0.8,2218.0,0.1,,,,,0.001,0.008865791118881942,MLP,,3.0,,38.08932767435908,6.363959774374962,COMPLETE
25,0.0492698175271471,2025-07-05 10:36:34.800906,2025-07-05 10:37:35.459488,0 days 00:01:00.658582,,0.9,569.0,0.2,,,,,0.0006,0.0028892893340629034,MLP,,2.0,,0.0492698175271471,,PRUNED
26,,2025-07-05 10:37:35.481717,,,,0.7,1662.0,0.1,,,,,0.001,0.00553789114435285,MLP,,1.0,,1.1380154227444257,,RUNNING
27,1.7981602648319495,2025-07-05 14:28:37.062010,2025-07-05 14:30:43.904270,0 days 00:02:06.842260,,0.7,1678.0,0.1,,,,,0.001,0.005324738441810875,MLP,,1.0,,0.3674290708377926,1.7981602648319495,PRUNED
28,,2025-07-05 14:30:43.920572,,,,0.9,2414.0,0.2,,,,,0.001,0.006566565522219598,MLP,,1.0,,2.672768256627023,,RUNNING
29,,2025-07-05 17:40:14.126013,2025-07-05 17:40:14.140789,0 days 00:00:00.014776,,,,,,,,,,,,,,,,,FAIL
30,0.03894070552127005,2025-07-05 17:45:37.840935,2025-07-05 17:45:57.758054,0 days 00:00:19.917119,,0.9,1099.0,0.2,,,,,0.001,0.0015117569005108297,MLP,,3.0,,0.03894070552127005,,PRUNED
31,0.9976442873969376,2025-07-05 17:45:57.772992,2025-07-05 17:46:45.342303,0 days 00:00:47.569311,,0.8,2441.0,0.1,,,,,0.001,0.006752394545310129,MLP,,1.0,,2.1440656185150146,,COMPLETE
32,0.017683573154499754,2025-07-05 17:46:45.361280,2025-07-05 17:48:18.535370,0 days 00:01:33.174090,,0.7,67.0,0.1,598.0,,,2.0,0.001,0.002782782460762149,CNN1D,2.0,3.0,,0.017683573154499754,,PRUNED
33,0.9947027663331371,2025-07-05 17:48:18.572300,2025-07-05 17:49:12.104506,0 days 00:00:53.532206,,0.6,2606.0,0.1,,,,,0.0003,0.006280520552441958,MLP,,2.0,,1.4875690844473866,6.476447001565248,COMPLETE
34,0.026098221249412745,2025-07-05 17:49:12.121459,2025-07-05 17:49:41.643078,0 days 00:00:29.521619,,0.8,296.0,0.4,11.0,,,3.0,0.0006,0.004341062831593285,CNN1D,2.0,3.0,,0.026098221249412745,,PRUNED
35,0.9952774498229043,2025-07-05 17:49:41.682972,2025-07-05 17:50:22.778846,0 days 00:00:41.095874,,0.8,1490.0,0.1,,,,,0.001,0.009958991848597944,MLP,,1.0,,5.828945654735435,,COMPLETE
36,0.9970605526161082,2025-07-05 17:50:22.796767,2025-07-05 17:51:05.608266,0 days 00:00:42.811499,,0.9,2733.0,0.2,,,,,0.001,0.006714674460856796,MLP,,1.0,,4.22342750383541,,COMPLETE
37,0.9916963226571768,2025-07-05 17:51:05.624599,2025-07-05 17:51:49.031958,0 days 00:00:43.407359,,0.9,2731.0,0.1,,,,,0.001,0.006947935073863101,MLP,,1.0,,6.401295314077288,,COMPLETE
38,0.47599892249490416,2025-07-05 17:51:49.049501,2025-07-05 17:52:09.078612,0 days 00:00:20.029111,,0.9,2741.0,0.1,,,,,0.001,0.005346707913604193,MLP,,2.0,,0.47599892249490416,,PRUNED
39,0.8107691006734982,2025-07-05 17:52:09.116541,2025-07-05 17:52:26.993352,0 days 00:00:17.876811,,0.9,813.0,0.2,,,,,0.01,0.003610148286448343,MLP,,1.0,,0.8107691006734982,,PRUNED
