number,value,datetime_start,datetime_complete,duration,params_decision_threshold,params_dense_neurons,params_dropout,params_filter_size,params_kernel_size,params_learning_rate,params_num_dense_layers,params_num_layers,state
0,0.8683556845241359,2025-07-10 07:09:44.566250,2025-07-10 07:12:35.128205,0 days 00:02:50.561955,0.7,123,0.4,61,7,0.0028983099354731013,2,3,COMPLETE
1,0.8678020161958327,2025-07-10 07:12:35.243995,2025-07-10 07:14:14.207532,0 days 00:01:38.963537,0.6,325,0.1,19,7,0.008471997340720166,1,3,COMPLETE
2,0.9650388976214959,2025-07-10 07:14:15.278258,2025-07-10 07:47:34.188694,0 days 00:33:18.910436,0.5,300,0.1,59,6,0.0005895289443882064,1,4,COMPLETE
3,0.36988443293254036,2025-07-10 07:47:34.312477,2025-07-10 08:28:13.965573,0 days 00:40:39.653096,0.5,220,0.1,65,7,0.008401628846485877,2,4,COMPLETE
4,0.9214781196623403,2025-07-10 08:28:14.049027,2025-07-10 09:21:16.756866,0 days 00:53:02.707839,0.5,249,0.1,69,7,0.00207892839755336,1,4,COMPLETE
5,0.8925026823583482,2025-07-10 09:21:17.571146,2025-07-10 09:33:14.976673,0 days 00:11:57.405527,0.9,264,0.30000000000000004,63,5,0.002217326835834238,1,3,COMPLETE
6,0.9111925972681382,2025-07-10 09:33:15.527446,2025-07-10 10:28:19.312979,0 days 00:55:03.785533,0.8,140,0.5,108,3,0.0002453104932058189,1,3,COMPLETE
7,0.9478650857071962,2025-07-10 10:28:19.382413,2025-07-10 10:40:42.959984,0 days 00:12:23.577571,0.5,65,0.1,57,3,0.0005999786828419764,2,3,COMPLETE
8,0.9481151233720893,2025-07-10 10:40:44.409194,2025-07-10 11:37:11.578655,0 days 00:56:27.169461,0.5,302,0.30000000000000004,127,3,0.0002805497425968068,2,3,COMPLETE
9,0.7135135487135519,2025-07-10 11:37:11.670900,2025-07-10 11:46:19.377469,0 days 00:09:07.706569,0.7,79,0.4,54,7,0.005814092132047912,2,2,COMPLETE
10,0.9496359794426157,2025-07-10 11:46:19.548593,2025-07-10 11:57:07.952476,0 days 00:10:48.403883,0.6,478,0.2,30,5,0.0001084095732255596,1,4,COMPLETE
11,0.9505911273925157,2025-07-10 11:57:08.511556,2025-07-10 12:08:33.340479,0 days 00:11:24.828923,0.6,479,0.2,31,5,0.0001008574880440308,1,4,COMPLETE
12,0.9521575193985103,2025-07-10 12:08:34.408229,2025-07-10 12:22:40.786003,0 days 00:14:06.377774,0.6,492,0.2,33,5,0.00011013925504637383,1,4,COMPLETE
13,0.9474981236964355,2025-07-10 12:22:40.866854,2025-07-10 12:38:58.137739,0 days 00:16:17.270885,0.6,384,0.2,35,6,0.0007193802964674714,1,4,COMPLETE
14,0.9460382934454683,2025-07-10 12:38:58.689532,2025-07-10 12:41:25.017904,0 days 00:02:26.328372,0.6,378,0.2,21,4,0.0003105424054462715,1,2,COMPLETE
15,0.9211544266034309,2025-07-10 12:41:25.489710,2025-07-10 12:57:55.971819,0 days 00:16:30.482109,0.8,177,0.2,41,6,0.0013632700993164162,1,4,COMPLETE
16,0.9369545959374896,2025-07-10 12:57:56.458801,2025-07-10 14:26:08.299874,0 days 01:28:11.841073,0.5,505,0.1,94,6,0.0004589494153403779,1,4,COMPLETE
17,0.9207957225287086,2025-07-10 14:26:09.327143,2025-07-10 14:35:05.927954,0 days 00:08:56.600811,0.7,185,0.30000000000000004,25,4,0.0001844192204748252,1,4,COMPLETE
18,0.9620707422030137,2025-07-10 14:35:06.368954,2025-07-10 14:41:04.630931,0 days 00:05:58.261977,0.6,383,0.2,44,4,0.0011300900573666588,1,2,COMPLETE
19,0.9236889483052512,2025-07-10 14:41:05.094316,2025-07-10 14:49:43.281126,0 days 00:08:38.186810,0.8,353,0.4,45,4,0.0008764451718134975,1,2,COMPLETE
