Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
1.0,0.8794704132600063,0.9776328052189208,0.948148148147446,0.993371212121118,0.9743377483442902,1049,128,7,24
2.0,0.8910159881890376,0.9757688723205056,0.9777777777770535,0.9971428571427622,0.9759933774833628,1047,132,3,26
3.0,0.8964428540053079,0.9785647716681288,0.9703703703696516,0.9962049335862432,0.9776490066224356,1050,131,4,23
4.0,0.9181269718261148,0.9832246039141674,0.9777777777770535,0.9971644612475428,0.9826158940396538,1055,132,3,18
5.0,0.9066820383265805,0.981360671015752,0.9703703703696516,0.996215704824882,0.9801324503310448,1053,131,4,20
6.0,0.8981137931303631,0.97390493942209,0.9999999999992594,0.9999999999999044,0.9768211920528992,1045,135,0,28
7.0,0.8796017912452262,0.9711090400744667,0.9851851851844556,0.998084291187644,0.9726821192052174,1042,133,2,31
8.0,0.9252283856518192,0.9850885368125828,0.9777777777770535,0.9971698113206606,0.9842715231787263,1057,132,3,16
9.0,0.9225713182972544,0.9832246039141674,0.9851851851844556,0.9981078524123936,0.98344370860919,1055,133,2,18
10.0,0.8810513892405254,0.9701770736252592,0.9925925925918574,0.9990403071016316,0.9726821192052174,1041,134,1,32
11.0,0.9252283856518192,0.9850885368125828,0.9777777777770535,0.9971698113206606,0.9842715231787263,1057,132,3,16
12.0,0.8538112210725571,0.9645852749300126,0.9777777777770535,0.9971098265894992,0.9660596026489268,1035,132,3,38
13.0,0.9077241804548026,0.9804287045665442,0.9777777777770535,0.9971563981041708,0.9801324503310448,1052,132,3,21
14.0,0.8862577310759764,0.9794967381173364,0.948148148147446,0.9933837429110592,0.9759933774833628,1051,128,7,22
15.0,0.9412551700429316,0.9869524697109984,0.9925925925918574,0.9990566037734906,0.9875827814568718,1059,134,1,14
16.0,0.9376411399197532,0.9860205032617908,0.9925925925918574,0.9990557129366384,0.9867549668873355,1058,134,1,15
17.0,0.8848614224581044,0.9850885368125828,0.9111111111104364,0.9887745556594024,0.9768211920528992,1057,123,12,16
18.0,0.9449042646425,0.9878844361602062,0.9925925925918574,0.9990574929311028,0.9884105960264082,1060,134,1,13
19.0,0.9045392697142332,0.9757688723205056,0.9999999999992594,0.9999999999999044,0.978476821191972,1047,135,0,26
20.0,0.9361411797811232,0.9878844361602062,0.9777777777770535,0.9971777986828788,0.9867549668873355,1060,132,3,13
