number,value,datetime_start,datetime_complete,duration,params_decision_threshold,params_dense_neurons,params_dropout,params_learning_rate,params_num_layers,state
0,0.942987022637546,2025-07-10 02:56:41.954547,2025-07-10 02:57:11.433684,0 days 00:00:29.479137,0.9,93,0.30000000000000004,0.00023129332597207752,2,COMPLETE
1,0.9192116724007571,2025-07-10 02:57:11.559867,2025-07-10 02:57:34.128880,0 days 00:00:22.569013,0.8,187,0.5,0.0040489134369177246,3,COMPLETE
2,0.9514338146919199,2025-07-10 02:57:34.389045,2025-07-10 02:58:28.983278,0 days 00:00:54.594233,0.7,955,0.30000000000000004,0.0005049903430862537,2,COMPLETE
3,0.9170672064024881,2025-07-10 02:58:29.113184,2025-07-10 02:59:02.456183,0 days 00:00:33.342999,0.8,448,0.2,0.0021211844830413234,1,COMPLETE
4,0.9546891663031047,2025-07-10 02:59:02.729510,2025-07-10 02:59:31.424666,0 days 00:00:28.695156,0.6,129,0.30000000000000004,0.002437894402331489,1,COMPLETE
5,0.9420763218334585,2025-07-10 02:59:31.534365,2025-07-10 03:00:01.571402,0 days 00:00:30.037037,0.5,183,0.2,0.00035797795725341346,4,COMPLETE
6,0.9181609342851228,2025-07-10 03:00:01.899454,2025-07-10 03:00:47.044625,0 days 00:00:45.145171,0.9,896,0.2,0.0022813514126003077,4,COMPLETE
7,0.9486529671104119,2025-07-10 03:00:48.263176,2025-07-10 03:01:20.778534,0 days 00:00:32.515358,0.6,135,0.4,0.00033429116838240916,2,COMPLETE
8,0.9449991355806844,2025-07-10 03:01:20.905067,2025-07-10 03:01:58.769432,0 days 00:00:37.864365,0.7,436,0.1,0.0028750774178954715,1,COMPLETE
9,0.9506138494184586,2025-07-10 03:01:59.696349,2025-07-10 03:02:33.140859,0 days 00:00:33.444510,0.7,70,0.4,0.0009716434704260238,4,COMPLETE
10,0.9321034624875331,2025-07-10 03:02:33.228490,2025-07-10 03:03:05.060921,0 days 00:00:31.832431,0.5,387,0.5,0.009460304567516648,1,COMPLETE
11,0.9490105319075584,2025-07-10 03:03:05.158533,2025-07-10 03:04:00.913382,0 days 00:00:55.754849,0.6,884,0.30000000000000004,0.0007712982697122247,2,COMPLETE
12,0.9510765761479464,2025-07-10 03:04:01.201906,2025-07-10 03:04:37.727949,0 days 00:00:36.526043,0.6,296,0.4,0.00012469245419913832,3,COMPLETE
13,0.9489534616427925,2025-07-10 03:04:38.883233,2025-07-10 03:05:09.045815,0 days 00:00:30.162582,0.7,117,0.30000000000000004,0.0006247787215971386,1,COMPLETE
14,0.9415857940468794,2025-07-10 03:05:09.178178,2025-07-10 03:06:02.518680,0 days 00:00:53.340502,0.6,623,0.1,0.001452150073572394,2,COMPLETE
15,0.8136713714657988,2025-07-10 03:06:03.116146,2025-07-10 03:06:30.114848,0 days 00:00:26.998702,0.8,202,0.4,0.005973832887606893,3,COMPLETE
16,0.945121732379876,2025-07-10 03:06:30.196002,2025-07-10 03:07:16.768779,0 days 00:00:46.572777,0.5,287,0.2,0.000561267528880026,1,COMPLETE
17,0.9566167759296065,2025-07-10 03:07:16.893753,2025-07-10 03:08:05.418809,0 days 00:00:48.525056,0.6,643,0.30000000000000004,0.001275752364066688,2,COMPLETE
18,0.9495140988915818,2025-07-10 03:08:05.749428,2025-07-10 03:08:48.456351,0 days 00:00:42.706923,0.6,624,0.4,0.0013476074914147494,1,COMPLETE
19,0.9458435189302499,2025-07-10 03:08:49.903511,2025-07-10 03:09:17.575664,0 days 00:00:27.672153,0.5,65,0.2,0.0014574891726269784,2,COMPLETE
